lolnc_num,long_common_name                                                                                   ,component      ,system      ,property
1971-1   ,Bilirubin indirect [Mass/volume] in Serum or Plasma                                                ,Bilirubin.non-_,Ser/Plas    ,MCnc
18906-8  ,Ciproﬂoxacin [Susceptibility]                                                                      ,Ciprofloxacin  ,Isolate     ,Susc
6768-6   ,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma                                ,Alkaline phosl ,Ser/Plas    ,CCnc
1988-5   ,C reactive protein [Mass/volume] in Serum or Plasma                                                ,C reactive pro ,Ser/Plas    ,MCnc
74774-1  ,Glucose [Mass/volume] in Serum Plasma or Blood                                                     ,Glucose        ,Ser/Plas/Bid,MCnc
1995-0   ,Calcium ionized [Moles/volume] in Serum or Plasma                                                  ,Calcium ionizc ,Ser/Plas    ,SCnc
1759-0   ,Albumin/Globulin [Mass ratio] in Serum or Plasma                                                   ,Albumin/Glob   ,Ser/Plas    ,Mcno
20629-2  ,Levoﬂoxacin [Susceptibility]                                                                       ,Levoﬂoxacin    ,Isolate     ,Susc
1968-7   ,Bilirubin direct [Mass/volume] in Serum or Plasma                                                  ,Bilirubin gluct,Ser/Plas    ,MCnc
35192-4  ,Bilirubin indirect [Mass or Moles/volume] in Serum or Plasma                                       ,Bilirubin non  ,Ser/Plas    ,hnSCnc
883-9    ,ABO group [Type] in Blood                                                                          ,ABO group      ,Bld         ,Type
1003-3   ,indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma               ,Indirect antigl,Ser/Plas    ,ACnc
54439-5  ,Calcium bilirubinate/Total in Stone                                                                ,Calcium biliru ,Calculus    ,hAFr
3082-S   ,Tyrosine aminotransferase [Mass/volume] in Plasma                                                  ,Tyrosine amir  ,Plas        ,MCnc
30522-7  ,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method                     ,C reactive pro ,Ser/Plas    ,hACnc
10331-7  ,Rh [Type] in Blood                                                                                 ,Rh             ,Bid         ,Type
26474-7  ,Lymphocytes [ll/volume] in Blood                                                                   ,Lymphocytes    ,Bid         ,NCnc
8310-5   ,Body temperature                                                                                   ,Body temper    ,Patient     ,Temp
31100-1  ,Hematocrit [Volume Fraction] of Blood by Impedance                                                 ,Hematocrit     ,Bld         ,VFr
882-1    ,A80 & Rh group [Type] in Blood                                                                     ,ABO+Rh groug   ,Bld         ,Type
26484-6  ,Monocytes [ll/volume] in Blood                                                                     ,Monocytes      ,Bld         ,NCnc
1250-0   ,Major crossmatch [interpretation]                                                                  ,Major crossm   ,Ser/Plas    ,hnp
18864-9  ,Ampicillin [Susceptibility]                                                                        ,Ampicillin     ,Isolate     ,Susc
1742-6   ,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma                            ,Alanine aminc  ,Ser/Plas    ,CCnc
18865-6  ,Ampicilin+Sulbactam [Susceptibility]                                                               ,AmpiciIlin+Sui ,Isolate     ,Susc
