2132-9,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
19080-1,16,8,8,32,45,36,39,30,42,4,27,13,20,15,43,6,5,32,43,7,26,33,33,19,5
26478-8,42,16,17,41,34,11,4,22,14,5,13,36,30,16,35,12,47,6,19,16,45,41,9,27,6
14747-0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
20565-8,7,34,18,42,28,12,5,40,23,29,33,37,31,9,44,37,27,38,38,25,34,34,34,5,32
2028-9,35,35,28,27,29,26,6,31,15,14,17,31,43,39,27,44,6,39,7,26,46,42,35,33,39
18955-S,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
2093-3,36,36,29,33,35,17,25,23,43,30,18,3,12,10,11,17,36,46,39,34,16,43,45,6,25
18998-5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
890-4,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1
14764-5,43,37,30,12,10,18,40,6,24,21,19,45,32,24,12,18,28,33,20,17,9,17,22,40,33
2143-6,37,9,19,43,30,27,41,41,44,6,34,14,44,25,36,7,37,7,45,18,27,6,4,44,7
2039-6,38,10,20,44,46,5,28,42,16,31,35,38,25,17,37,38,38,26,8,8,47,44,23,28,16
1971-1,8,43,39,34,17,13,29,43,9,44,6,39,21,26,4,45,12,16,9,46,35,26,24,7,34
18906-8,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
6768-6,21,44,21,13,11,19,30,14,10,7,28,46,22,27,5,26,21,34,46,35,10,20,46,20,8
1988-5,9,11,22,35,36,6,42,18,36,45,14,15,13,28,20,13,22,27,10,19,11,35,36,8,17
74774-1,2,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,11,9,2,2,2,1,2
1995-0,44,22,31,28,18,20,13,32,37,46,20,4,33,18,45,14,39,28,21,27,17,27,16,29,18
1759-0,22,28,40,7,19,45,46,24,17,32,46,40,45,45,46,39,29,40,12,36,36,45,25,21,26
20629-2,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
1968-7,45,12,9,45,37,46,14,44,38,15,36,16,34,33,21,19,7,8,30,10,28,7,37,34,9
35192-4,46,45,32,14,20,21,31,15,29,16,29,26,14,19,28,27,23,47,31,38,29,21,17,9,46
883-9,10,38,23,29,12,47,15,33,18,22,21,17,46,40,29,20,13,41,44,28,18,46,10,35,35
1003-3,11,13,44,30,47,28,16,34,45,33,15,41,35,46,22,46,40,17,13,11,19,8,11,45,27
54439-5,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
3082-S,47,39,12,46,7,29,32,7,46,8,37,47,36,29,6,8,14,18,22,39,12,28,26,10,40
30522-7,30,23,45,15,31,30,26,45,47,23,38,18,37,30,23,28,15,19,32,47,20,9,38,11,10
10331-7,17,46,46,19,21,37,33,35,25,24,39,32,26,34,7,21,16,20,33,12,37,47,47,41,19
26474-7,31,24,10,47,38,14,7,46,39,9,7,19,15,35,13,29,30,42,34,29,38,10,39,12,11
8310-5,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
31100-1,23,47,33,16,39,7,27,36,19,47,47,42,9,11,24,9,17,21,14,40,42,11,18,46,12
882-1,32,29,24,36,22,8,43,47,11,25,22,33,27,36,47,47,31,35,35,30,39,29,27,13,13
26484-6,24,40,47,31,23,9,47,25,20,26,23,27,47,41,14,22,32,9,47,31,13,30,40,47,47
1250-0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
18864-9,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
1742-6,33,14,25,17,40,22,17,26,30,27,30,5,38,47,38,40,41,29,36,37,30,18,41,22,20
18865-6,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
