lolnc_num,long_common_name                                                                                ,component          ,system    ,property, score
1995-0   ,Calcium ionized [Moles/volume] in Serum or Plasma                                               ,Calcium.ionizi     ,Ser/Plas  ,SCnc        ,0
35184-1  ,Fasting glucose [Mass or Moles/volume] in Serum or Plasma                                       ,Glucose post       ,Ser/Plas  ,hASCnc      ,4
2085-9   ,Cholesterol in HDL [Mass/volume] in Serum or Plasma                                             ,Cholesterolin      ,Ser/Plas  ,MCnc        ,0
1759-0   ,Albumin/Globulin [Mass ratio] in Serum or Plasma                                                ,Albumin/Giol:      ,Ser/Plas  ,Mcno        ,0
2028-9   ,Carbon dioxide total [Moles/volume] in Serum or Plasma                                          ,Carbon dioxid      ,Ser/Plas  ,Scnc        ,0
35192-4  ,Bilirubin indirect [Mass or Moles/volume] in Serum or Plasma                                    ,Bilirubin.non-.    ,Ser/Plas  ,nnscnc      ,0
20629-2  ,Levoﬂoxacin [Susceptibility]                                                                    ,Levoﬂoxacin        ,Isolate   ,Susc        ,0
17861-6  ,Calcium [Mass/volume] in Serum or Plasma                                                        ,Calcium            ,Ser/Plas  ,Mcnc        ,0
54439-5  ,Calcium bilirubin Total in Stone                                                                ,Calcium biliru     ,Calculus  ,hAFr        ,0
18878-9  ,Cefazolin [Susceptibility]                                                                      ,Cefazolin          ,Isolate   ,Susc        ,0
18928-2  ,Gentamicin [Susceptibility]                                                                     ,Gentamicin         ,Isolate   ,Susc        ,0
29265-6  ,Calcium [Moles/volume] corrected for albumin in Serum or Plasma                                 ,"Calcium""""cor "  ,Ser/Plas  ,SCnc        ,0
23658-8  ,Other Antibiotic [Susceptibility]                                                               ,Antibiotic XX)     ,Isolate   ,Susc        ,0
